ACCT 2101 ACCOUNTING I
ACCT 2102 ACCOUNTING II
AE 1350 INTRO TO AEROSPACE ENGR
AE 1355 DESIGN COMPETITION I
AE 1601 INTRODUCTION TO AE
AE 1750 INTRO TO BIOENGINEERING
AE 1770 INTRO TO ENGR GRAPHICS
AE 1XXX AEROSPACE ENGR ELECTIVE
AE 2010 THERMODYN&FLUIDS FUNDAM
AE 2020 LOW SPEED AERODYNAMICS
AE 2120 INTRO TO MECHANICS
AE 2220 DYNAMICS
AE 2355 DESIGN COMPETITION II
AE 2610 INTRO EXPER METHODS AE
AE 2611 TECHNICAL COMMUN FOR AE
AE 2698 RESEARCH ASSISTANTSHIP
AE 2699 UNDERGRADUATE RESEARCH
AE 2801 SPECIAL TOPICS
AE 2802 SPECIAL TOPICS
AE 2803 SPECIAL TOPICS
AE 2901 SPECIAL PROBLEMS
AE 2902 SPECIAL PROBLEMS
AE 2903 SPECIAL PROBLEMS
AE 2XXX AEROSPACE ENGR ELECTIVE
AE 3021 HIGH SPEED AERODYNAMICS
AE 3030 AERODYNAMICS
AE 3051 EXPERIMENTAL FLUID DYN
AE 3090 NUMERICAL METHODS FOR AE
AE 3120 INTRO-STRUCTURAL ANALY
AE 3125 AE STRUCTURAL ANALYSIS
AE 3140 STRUCTURAL ANALYSIS
AE 3145 STRUCTURES LABORATORY
AE 3310 AE VEHICLE PERFORMANCE
AE 3330 INTRO AE VEHICLE PERFORM
AE 3340 DESIGN&SYSTEM ENG METHOD
AE 3355 DESIGN COMPETITION III
AE 3450 THERMODYNAMICS&COMP FLOW
AE 3515 SYSTEM DYNAMICS& CONTROL
AE 3521 FLIGHT DYNAMICS
AE 3530 SYS DYNAMICS&VIBRATION
AE 3531 CTRL SYS ANALYSIS&DESIGN
AE 3610 EXPER FLUIDS&SOLID MECH
AE 3801 SPECIAL TOPICS
AE 3802 SPECIAL TOPICS
AE 3803 SPECIAL TOPICS
AE 3901 SPECIAL PROBLEMS
AE 3902 SPECIAL PROBLEMS
AE 3903 SPECIAL PROBLEMS
AE 3XXX AEROSPACE ENGR ELECTIVE
AE 4040 COMPUTATIONAL FLUID DYN
AE 4051 FLOW DIAGNOSTICS
AE 4060 AEROACOUSTICS
AE 4070 PROPELLER & ROTOR THEORY
AE 4080 AEROTHERMODYNAMICS
AE 4120 INTR-COMPOSITE AE STRUCT
AE 4131 INTRO TO FINITE ELEMENT
AE 4170 STRUCT INTEGRITY&DURA
AE 4220 AEROELASTICITY
AE 4310 SPACE FLIGHT MECHANICS
AE 4341 AIRCRAFT DESIGN
AE 4342 SPACE SYSTEM DESIGN
AE 4343 ROTORCRAFT DESIGN
AE 4350 AE DESIGN PROJECT I
AE 4351 AE DESIGN PROJECT II
AE 4355 DESIGN COMPETITION IV
AE 4356 SPACE SYSTEMS DESIGN I
AE 4357 SPACE SYSTEMS DESIGN II
AE 4358 ROTORCRAFT DESIGN I
AE 4359 ROTORCRAFT DESIGN II
AE 4370 LIFE CYCLE COST ANALYSIS
AE 4375 COMPUTER-AIDED DESIGN
AE 4451 JET & ROCKET PROPULSION
AE 4461 INTRO TO COMBUSTION
AE 4521 VEHICLE GUIDANCE&SIMULAT
